gene_id	transcript_id	cds_length	exon_length	unspliced_length
ENSG00000155313	ENST00000400183	3375.0	5379	150083
ENSG00000155313	ENST00000449491	687.0	687	32001
ENSG00000155313	ENST00000453553	611.0	611	8370
ENSG00000156239	ENST00000303775	642.0	4861	13177
ENSG00000156239	ENST00000351429	558.0	4781	13181
ENSG00000156239	ENST00000460212	642.0	1293	13181
ENSG00000156253	ENST00000493196	957.0	3065	14966
ENSG00000156256	ENST00000334352	2469.0	3004	29838
ENSG00000156256	ENST00000399973	323.0	581	10264
ENSG00000156256	ENST00000399975	2466.0	2960	29860
ENSG00000156256	ENST00000399976	2469.0	2924	29821
ENSG00000156261	ENST00000286788	1644.0	1854	17323
ENSG00000156261	ENST00000431234	968.0	968	11357
ENSG00000156261	ENST00000432178	319.0	556	5572
ENSG00000156261	ENST00000540844	1425.0	1927	17476
ENSG00000156261	ENST00000626972	1587.0	1862	17023
ENSG00000156265	ENST00000339024	426.0	2066	83636
ENSG00000156265	ENST00000341618	726.0	1855	98257
ENSG00000156265	ENST00000399925	426.0	692	44066
ENSG00000156265	ENST00000399926	426.0	749	44377
ENSG00000156265	ENST00000399928	426.0	1743	45244
ENSG00000156265	ENST00000399934	426.0	1964	98257
ENSG00000156265	ENST00000399935	426.0	2093	98257
ENSG00000156265	ENST00000399947	726.0	2003	95338
ENSG00000156265	ENST00000419845	133.0	577	14102
ENSG00000156265	ENST00000451489	282.0	556	43489
ENSG00000156265	ENST00000545939	408.0	1407	66757
ENSG00000156265	ENST00000710354	372.0	2370	98628
ENSG00000156273	ENST00000286800	2208.0	5618	47227
ENSG00000156273	ENST00000399921	2208.0	5769	46733
ENSG00000156273	ENST00000422809	652.0	850	303623
ENSG00000156273	ENST00000435072	512.0	692	21134
ENSG00000156273	ENST00000447177	660.0	751	25683
ENSG00000156273	ENST00000451655	674.0	777	26366
ENSG00000156273	ENST00000468059	412.0	663	303476
ENSG00000156273	ENST00000546469	75.0	485	127209
ENSG00000156273	ENST00000547141	75.0	315	127209
ENSG00000156273	ENST00000548219	75.0	325	127285
ENSG00000156273	ENST00000548467	75.0	217	21673
ENSG00000156273	ENST00000550131	75.0	349	127209
ENSG00000156282	ENST00000286808	672.0	1241	1241
ENSG00000156284	ENST00000399899	675.0	2092	2092
ENSG00000156299	ENST00000286827	4773.0	7200	440562
ENSG00000156299	ENST00000423206	395.0	523	11804
ENSG00000156299	ENST00000455508	4593.0	4654	156411
ENSG00000156299	ENST00000541036	4773.0	7218	225844
ENSG00000156299	ENST00000636887	1872.0	4160	42452
ENSG00000156299	ENST00000698169	4356.0	7317	225855
ENSG00000156304	ENST00000286835	3441.0	4269	61119
ENSG00000156304	ENST00000399804	3375.0	4127	61043
ENSG00000156304	ENST00000434667	3396.0	3846	60741
ENSG00000157538	ENST00000309117	891.0	3056	43913
ENSG00000157538	ENST00000398998	747.0	988	41989
ENSG00000157538	ENST00000399001	516.0	821	42053
ENSG00000157538	ENST00000476950	810.0	937	41875
ENSG00000157540	ENST00000338785	1752.0	5518	147821
ENSG00000157540	ENST00000398956	1587.0	1590	91580
ENSG00000157540	ENST00000398960	2289.0	2782	137828
ENSG00000157540	ENST00000426672	543.0	693	118435
ENSG00000157540	ENST00000455097	69.0	364	52531
ENSG00000157540	ENST00000642309	1200.0	1709	85046
ENSG00000157540	ENST00000643551	332.0	525	112654
ENSG00000157540	ENST00000643624	2262.0	2881	145367
ENSG00000157540	ENST00000643854	1200.0	1456	85059
ENSG00000157540	ENST00000644942	2289.0	3137	145672
ENSG00000157540	ENST00000645424	1575.0	1654	86004
ENSG00000157540	ENST00000645774	1559.0	1764	85227
ENSG00000157540	ENST00000646523	1815.0	2153	146482
ENSG00000157540	ENST00000646548	2262.0	17562	107454
ENSG00000157540	ENST00000647188	2262.0	17024	159586
ENSG00000157540	ENST00000647425	2262.0	2737	146742
ENSG00000157540	ENST00000647504	2175.0	5591	148239
ENSG00000157542	ENST00000609713	1269.0	19659	309085
ENSG00000157542	ENST00000645093	1269.0	3219	497787
ENSG00000157551	ENST00000328656	1125.0	8399	50617
ENSG00000157551	ENST00000398925	184.0	532	42705
ENSG00000157551	ENST00000398927	470.0	665	3175
ENSG00000157551	ENST00000398928	470.0	715	42991
ENSG00000157551	ENST00000398930	1125.0	2914	29399
ENSG00000157551	ENST00000398932	1125.0	2747	29241
ENSG00000157551	ENST00000398934	1125.0	2815	29403
ENSG00000157551	ENST00000398938	1125.0	8407	50367
ENSG00000157551	ENST00000417042	58.0	727	42445
ENSG00000157551	ENST00000419868	417.0	521	2753
ENSG00000157551	ENST00000438657	736.0	1115	27703
ENSG00000157551	ENST00000443341	119.0	711	42639
ENSG00000157551	ENST00000547341	145.0	595	142373
ENSG00000157551	ENST00000547595	145.0	313	142373
ENSG00000157551	ENST00000548700	145.0	304	142373
ENSG00000157551	ENST00000549158	76.0	626	142304
ENSG00000157551	ENST00000549805	145.0	740	142373
ENSG00000157551	ENST00000549932	145.0	555	142373
ENSG00000157551	ENST00000551422	145.0	413	142373
ENSG00000157551	ENST00000612702	1125.0	3046	45125
ENSG00000157551	ENST00000613499	1125.0	3049	45125
ENSG00000157554	ENST00000288319	1437.0	4904	118442
ENSG00000157554	ENST00000398897	1089.0	4651	204874
ENSG00000157554	ENST00000398905	1365.0	4806	118416
ENSG00000157554	ENST00000398907	1368.0	4809	118416
ENSG00000157554	ENST00000398910	1389.0	4954	281668
ENSG00000157554	ENST00000398911	1386.0	4914	204919
ENSG00000157554	ENST00000398919	1458.0	1868	277377
ENSG00000157554	ENST00000417133	1458.0	5023	281668
ENSG00000157554	ENST00000442448	1386.0	5034	281751
ENSG00000157554	ENST00000453032	1161.0	1595	115351
ENSG00000157557	ENST00000360214	1407.0	4060	19773
ENSG00000157557	ENST00000360938	1407.0	3668	19027
ENSG00000157557	ENST00000432278	505.0	1033	9031
ENSG00000157557	ENST00000456966	811.0	972	9011
ENSG00000157557	ENST00000653642	1407.0	3619	16835
ENSG00000157557	ENST00000662305	1407.0	2351	14381
ENSG00000157557	ENST00000665212	347.0	530	9566
ENSG00000157557	ENST00000666778	1407.0	3713	18954
ENSG00000157557	ENST00000667466	1512.0	3788	19042
ENSG00000157578	ENST00000288350	2010.0	2533	40051
ENSG00000157578	ENST00000358268	2010.0	2564	39874
ENSG00000157578	ENST00000380671	2010.0	2080	22679
ENSG00000157578	ENST00000411566	279.0	808	17519
ENSG00000157578	ENST00000415863	209.0	706	17485
ENSG00000157578	ENST00000418018	568.0	885	22516
ENSG00000157578	ENST00000426783	189.0	690	17465
ENSG00000157578	ENST00000434281	286.0	523	17596
ENSG00000157578	ENST00000438404	284.0	849	17510
ENSG00000157578	ENST00000448288	322.0	804	17607
ENSG00000157578	ENST00000451131	32.0	657	17291
ENSG00000157578	ENST00000456017	92.0	612	17379
ENSG00000157578	ENST00000485895	864.0	2551	24218
ENSG00000157601	ENST00000288383	1962.0	2777	32999
ENSG00000157601	ENST00000398598	1986.0	2776	32974
ENSG00000157601	ENST00000398600	1986.0	3470	38700
ENSG00000157601	ENST00000413778	1986.0	2672	37430
ENSG00000157601	ENST00000417963	1986.0	2303	32581
ENSG00000157601	ENST00000419044	1986.0	3516	33816
ENSG00000157601	ENST00000424365	1827.0	2701	33058
ENSG00000157601	ENST00000455164	1986.0	2810	33183
ENSG00000157601	ENST00000619682	1524.0	1980	27164
ENSG00000157601	ENST00000679386	1872.0	3964	43871
ENSG00000157601	ENST00000679408	1827.0	2687	32910
ENSG00000157601	ENST00000679445	1986.0	3576	39320
ENSG00000157601	ENST00000679464	1986.0	3653	39359
ENSG00000157601	ENST00000679543	1986.0	3309	33048
ENSG00000157601	ENST00000679626	1986.0	3699	39028
ENSG00000157601	ENST00000679705	1986.0	3256	33537
ENSG00000157601	ENST00000679911	1986.0	3690	39618
ENSG00000157601	ENST00000680176	1986.0	3302	33397
ENSG00000157601	ENST00000680182	1986.0	3649	39359
ENSG00000157601	ENST00000680347	1986.0	3553	39480
ENSG00000157601	ENST00000680364	1986.0	3310	33030
ENSG00000157601	ENST00000680536	1986.0	3205	33368
ENSG00000157601	ENST00000680629	1986.0	3144	33399
ENSG00000157601	ENST00000680760	1986.0	3203	33397
ENSG00000157601	ENST00000680776	1986.0	3325	33389
ENSG00000157601	ENST00000680942	1917.0	2732	32999
ENSG00000157601	ENST00000681039	1986.0	3428	33343
ENSG00000157601	ENST00000681191	1986.0	3640	39352
ENSG00000157601	ENST00000681266	1986.0	3288	33467
ENSG00000157601	ENST00000681415	1986.0	3752	39359
ENSG00000157601	ENST00000681607	1986.0	3289	33382
ENSG00000157601	ENST00000681671	1986.0	3298	33343
ENSG00000157601	ENST00000681849	1986.0	3251	33548
ENSG00000157601	ENST00000681857	1986.0	3488	39299
ENSG00000157601	ENST00000681867	1986.0	3527	39435
ENSG00000157601	ENST00000681896	1986.0	3125	33399
ENSG00000157601	ENST00000681944	1440.0	2724	32999
ENSG00000157617	ENST00000329623	1623.0	5844	41579
ENSG00000157617	ENST00000380486	2088.0	6473	68907
ENSG00000157617	ENST00000449165	544.0	4559	16541
ENSG00000159055	ENST00000290130	699.0	1546	10822
ENSG00000159079	ENST00000290155	870.0	3516	13024
ENSG00000159079	ENST00000300260	414.0	1243	10819
ENSG00000159079	ENST00000382549	735.0	2503	10920
ENSG00000159079	ENST00000425336	349.0	873	2498
ENSG00000159079	ENST00000431599	236.0	417	11159
ENSG00000159079	ENST00000440966	774.0	1082	10686
ENSG00000159079	ENST00000458138	551.0	863	9331
ENSG00000159082	ENST00000357345	3885.0	7059	99181
ENSG00000159082	ENST00000382491	3792.0	6958	99282
ENSG00000159082	ENST00000382499	4050.0	7099	99282
ENSG00000159082	ENST00000418301	392.0	422	10168
ENSG00000159082	ENST00000429236	2087.0	2212	61954
ENSG00000159082	ENST00000433931	4836.0	7075	99282
ENSG00000159082	ENST00000438952	559.0	3604	16948
ENSG00000159082	ENST00000456084	536.0	583	31717
ENSG00000159082	ENST00000630077	4578.0	6920	99159
ENSG00000159082	ENST00000674204	3933.0	7085	99159
ENSG00000159082	ENST00000674308	4719.0	7044	99251
ENSG00000159082	ENST00000674351	3933.0	7068	99251
ENSG00000159086	ENST00000290178	2445.0	2564	30276
ENSG00000159086	ENST00000331923	2751.0	3892	37857
ENSG00000159086	ENST00000421049	108.0	339	6753
ENSG00000159086	ENST00000443785	1533.0	2920	36868
ENSG00000159086	ENST00000445049	75.0	473	1850
ENSG00000159110	ENST00000342101	717.0	2606	34390
ENSG00000159110	ENST00000342136	1545.0	4074	35727
ENSG00000159110	ENST00000382238	591.0	1127	32715
ENSG00000159110	ENST00000382264	993.0	1389	32856
ENSG00000159110	ENST00000404220	993.0	4284	35705
ENSG00000159110	ENST00000413881	501.0	710	32674
ENSG00000159110	ENST00000417007	162.0	719	14014
ENSG00000159110	ENST00000443073	687.0	841	32674
ENSG00000159110	ENST00000447980	612.0	726	18446
ENSG00000159110	ENST00000682044	143.0	523	1940
ENSG00000159110	ENST00000683941	1545.0	3872	60383
ENSG00000159128	ENST00000290219	1011.0	1699	34104
ENSG00000159128	ENST00000381995	1068.0	1742	34090
ENSG00000159128	ENST00000405436	774.0	1684	34037
ENSG00000159128	ENST00000421802	179.0	727	47030
ENSG00000159128	ENST00000439213	210.0	906	28790
ENSG00000159128	ENST00000545369	111.0	966	33504
ENSG00000159128	ENST00000696724	1002.0	1530	22568
ENSG00000159131	ENST00000361093	1299.0	2149	18106
ENSG00000159131	ENST00000366093	434.0	805	6365
ENSG00000159131	ENST00000381815	3030.0	3318	38185
ENSG00000159131	ENST00000381831	3030.0	3490	38912
ENSG00000159131	ENST00000381839	3030.0	3469	38931
ENSG00000159131	ENST00000424203	918.0	3571	38960
ENSG00000159131	ENST00000426819	695.0	837	12007
ENSG00000159131	ENST00000430874	723.0	1036	12733
ENSG00000159131	ENST00000438059	416.0	697	8242
ENSG00000159131	ENST00000441403	408.0	715	7777
ENSG00000159140	ENST00000300278	6909.0	7477	17604
ENSG00000159140	ENST00000356577	7278.0	8393	34444
ENSG00000159140	ENST00000381679	6324.0	7860	15992
ENSG00000159140	ENST00000381692	1362.0	2463	34430
ENSG00000159140	ENST00000421541	1029.0	1151	12419
ENSG00000159140	ENST00000429093	276.0	684	3039
ENSG00000159140	ENST00000436227	4361.0	5269	25234
ENSG00000159140	ENST00000455528	6975.0	8394	34418
ENSG00000159140	ENST00000457208	290.0	765	9329
ENSG00000159140	ENST00000695559	996.0	2574	34423
ENSG00000159140	ENST00000704334	1461.0	2354	34374
ENSG00000159147	ENST00000303071	1698.0	2500	11134
ENSG00000159147	ENST00000303113	1656.0	2028	13194
ENSG00000159147	ENST00000417871	408.0	1820	10754
ENSG00000159147	ENST00000432378	1485.0	1618	10465
ENSG00000159147	ENST00000437395	1610.0	1719	10434
ENSG00000159147	ENST00000439593	54.0	528	18822
ENSG00000159147	ENST00000440810	703.0	703	6635
ENSG00000159147	ENST00000442660	468.0	1566	9661
ENSG00000159147	ENST00000444517	474.0	1180	9661
ENSG00000159147	ENST00000453626	1524.0	2332	11111
ENSG00000159147	ENST00000457359	630.0	2273	11086
ENSG00000159197	ENST00000290310	369.0	1061	7376
ENSG00000159200	ENST00000313806	756.0	2503	98672
ENSG00000159200	ENST00000381132	591.0	2408	10480
ENSG00000159200	ENST00000381135	831.0	2526	9023
ENSG00000159200	ENST00000399272	513.0	2164	97360
ENSG00000159200	ENST00000443408	351.0	2315	98002
ENSG00000159200	ENST00000481448	726.0	2816	10367
ENSG00000159200	ENST00000482533	351.0	2686	7806
ENSG00000159200	ENST00000487990	351.0	2520	43696
ENSG00000159200	ENST00000492600	615.0	935	5765
ENSG00000159200	ENST00000620920	351.0	2257	8193
ENSG00000159212	ENST00000349499	2058.0	4197	49230
ENSG00000159212	ENST00000360731	2112.0	3860	48839
ENSG00000159216	ENST00000300305	1440.0	6222	261544
ENSG00000159216	ENST00000344691	1359.0	7274	100890
ENSG00000159216	ENST00000358356	750.0	2720	67412
ENSG00000159216	ENST00000399237	769.0	822	55381
ENSG00000159216	ENST00000399240	1167.0	1590	95398
ENSG00000159216	ENST00000416754	97.0	346	156346
ENSG00000159216	ENST00000437180	1440.0	5967	261498
ENSG00000159216	ENST00000455571	420.0	610	168693
ENSG00000159216	ENST00000475045	148.0	1582	1117622
ENSG00000159216	ENST00000482318	114.0	1710	257534
ENSG00000159216	ENST00000675419	1440.0	5971	261502
ENSG00000159228	ENST00000290349	831.0	1208	3141
ENSG00000159228	ENST00000399191	666.0	838	2499
ENSG00000159228	ENST00000439427	534.0	1024	1569
ENSG00000159228	ENST00000530908	519.0	1924	3226
ENSG00000159231	ENST00000290354	831.0	998	11484
ENSG00000159256	ENST00000400485	2817.0	4224	56436
ENSG00000159256	ENST00000546482	573.0	1028	16538
ENSG00000159256	ENST00000549948	573.0	934	16538
ENSG00000159256	ENST00000551788	573.0	867	16538
ENSG00000159256	ENST00000552581	677.0	875	16538
ENSG00000159259	ENST00000314103	1677.0	4466	33624
ENSG00000159261	ENST00000342108	717.0	1453	115949
ENSG00000159261	ENST00000399135	717.0	1784	19502
ENSG00000159261	ENST00000399136	717.0	1330	81980
ENSG00000159261	ENST00000399137	717.0	1942	19470
ENSG00000159261	ENST00000399139	717.0	1231	5821
ENSG00000159263	ENST00000290399	2001.0	4461	50803
ENSG00000159263	ENST00000431229	1438.0	1465	36691
ENSG00000159263	ENST00000483178	219.0	824	8022
ENSG00000159267	ENST00000336648	2178.0	6010	239349
ENSG00000159267	ENST00000399120	2178.0	6466	215282
ENSG00000159267	ENST00000427746	231.0	666	53011
ENSG00000159267	ENST00000448340	277.0	780	43461
ENSG00000159267	ENST00000612277	2178.0	6112	230077
ENSG00000159267	ENST00000674895	2619.0	8273	218044
ENSG00000159267	ENST00000675057	1812.0	4903	238163
ENSG00000159267	ENST00000675307	2178.0	4757	228725
ENSG00000160179	ENST00000343687	2031.0	3037	77424
ENSG00000160179	ENST00000347800	1989.0	2923	81168
ENSG00000160179	ENST00000361802	2034.0	3034	78127
ENSG00000160179	ENST00000398437	2472.0	3475	41161
ENSG00000160179	ENST00000398449	1998.0	2976	78105
ENSG00000160179	ENST00000398457	2004.0	3119	97556
ENSG00000160179	ENST00000450121	772.0	918	65532
ENSG00000160180	ENST00000398431	373.0	452	3284
ENSG00000160180	ENST00000518498	240.0	867	3743
ENSG00000160181	ENST00000291526	387.0	603	4638
ENSG00000160182	ENST00000291527	252.0	492	4254
ENSG00000160183	ENST00000398397	1032.0	1342	14216
ENSG00000160183	ENST00000398405	1353.0	2754	24054
ENSG00000160183	ENST00000433957	1362.0	2402	24166
ENSG00000160183	ENST00000644384	1359.0	2396	24163
ENSG00000160183	ENST00000652415	1359.0	2544	24121
ENSG00000160185	ENST00000291535	1869.0	2005	43382
ENSG00000160185	ENST00000319294	1983.0	2520	43783
ENSG00000160185	ENST00000398367	1578.0	1733	43327
ENSG00000160185	ENST00000473381	1353.0	2754	43614
ENSG00000160185	ENST00000634718	114.0	696	9294
ENSG00000160185	ENST00000635108	165.0	572	9328
ENSG00000160185	ENST00000635189	507.0	567	9730
ENSG00000160185	ENST00000635325	1563.0	2095	43314
ENSG00000160188	ENST00000291536	927.0	1300	23739
ENSG00000160188	ENST00000398352	813.0	937	23490
ENSG00000160190	ENST00000352133	1599.0	3712	67575
ENSG00000160190	ENST00000398341	1599.0	3094	81809
ENSG00000160190	ENST00000398343	56.0	494	3987
ENSG00000160190	ENST00000419522	56.0	568	22493
ENSG00000160191	ENST00000291539	1779.0	2192	121889
ENSG00000160191	ENST00000328862	1701.0	1956	121731
ENSG00000160191	ENST00000335440	1473.0	1728	121731
ENSG00000160191	ENST00000335512	1599.0	1883	121760
ENSG00000160191	ENST00000349112	1395.0	1616	121697
ENSG00000160191	ENST00000380328	1620.0	1875	121731
ENSG00000160191	ENST00000398224	1398.0	1671	121697
ENSG00000160191	ENST00000398225	1656.0	1963	121731
ENSG00000160191	ENST00000398227	1299.0	1606	121731
ENSG00000160191	ENST00000398229	1377.0	1684	121731
ENSG00000160191	ENST00000398232	1578.0	1885	121731
ENSG00000160191	ENST00000398234	1476.0	1783	121731
ENSG00000160191	ENST00000398236	1521.0	1776	121731
ENSG00000160193	ENST00000330317	1236.0	1471	36438
ENSG00000160193	ENST00000398208	1236.0	2106	30314
ENSG00000160194	ENST00000340344	324.0	4676	20037
ENSG00000160194	ENST00000354250	1419.0	5725	19991
ENSG00000160199	ENST00000291547	1308.0	5300	59370
ENSG00000160199	ENST00000432907	957.0	5180	59422
ENSG00000160199	ENST00000560448	183.0	1429	26010
ENSG00000160200	ENST00000352178	1653.0	2583	23188
ENSG00000160200	ENST00000359624	1653.0	2353	23172
ENSG00000160200	ENST00000398158	1653.0	2453	22641
ENSG00000160200	ENST00000398165	1653.0	2495	22645
ENSG00000160200	ENST00000430013	671.0	828	4949
ENSG00000160200	ENST00000441030	531.0	819	11328
ENSG00000160200	ENST00000451248	445.0	573	5187
ENSG00000160200	ENST00000458223	476.0	676	3372
ENSG00000160201	ENST00000291552	720.0	945	14615
ENSG00000160201	ENST00000380276	720.0	940	14610
ENSG00000160201	ENST00000459639	501.0	1675	12297
ENSG00000160201	ENST00000464750	225.0	966	14569
ENSG00000160201	ENST00000486519	135.0	682	14381
ENSG00000160202	ENST00000291554	519.0	1139	3798
ENSG00000160202	ENST00000398132	408.0	826	2364
ENSG00000160202	ENST00000398133	459.0	600	2694
ENSG00000160207	ENST00000291560	1002.0	1900	130303
ENSG00000160207	ENST00000443485	680.0	989	45620
ENSG00000160208	ENST00000340648	2274.0	5078	36520
ENSG00000160209	ENST00000291565	936.0	7341	43171
ENSG00000160209	ENST00000327574	444.0	2583	9962
ENSG00000160209	ENST00000398081	261.0	2251	19768
ENSG00000160209	ENST00000467908	816.0	7194	20888
ENSG00000160209	ENST00000468090	852.0	7297	43211
ENSG00000160209	ENST00000621478	486.0	1967	4797
ENSG00000160213	ENST00000291568	294.0	588	2359
ENSG00000160213	ENST00000639959	161.0	1855	3728
ENSG00000160213	ENST00000640406	249.0	2354	3798
ENSG00000160214	ENST00000483896	135.0	805	8424
ENSG00000160214	ENST00000497547	1383.0	2958	15717
ENSG00000160216	ENST00000291572	1128.0	6565	122370
ENSG00000160216	ENST00000327505	1128.0	3589	80783
ENSG00000160216	ENST00000398058	1128.0	4338	37744
ENSG00000160216	ENST00000398061	1128.0	3595	102130
ENSG00000160216	ENST00000398063	1128.0	5767	61529
ENSG00000160216	ENST00000422850	767.0	1003	20804
